text,count,examples
INSTALACION ARRANQUE ELCTRICO PERMANENTE PARA TABLET (IGUAL A B21 Y BX21),1,(s/f)  Z-21 LUCES Y SISTEMA ELECTRICO
Revisión Sistema De Frenos,1,(s/f)  Z-21 FRENOS
LIMPIEZA DE ALUMINIOS OXIDADOS,1,(s/f)  Z-21 CHASSIS
"Cambio O Reposición De Fluidos (aceite, Líquidos Refrigerantes), Recambio De Filtros.",1,(s/f)  Z-21 MANTENCION
Cambio Correa De Transmisión,1,(s/f)  Z-21 MANTENCION
REVISION LED FOCO TRASERO REVERSA QUEMADOS,1,(s/f)  Q-12 LUCES Y SISTEMA ELECTRICO
REPARACION PARACHOQUE TRASERO,1,(s/f)  Q-12 CHASSIS
REVISION CHECK ENGINE MOTOR ENCENDIDO,1,(s/f)  Q-12 MOTOR
REVISION BOCINA CARRO,1,(s/f)  Q-12 SISTEMAS DE ALARMAS
REVISION DE NIVELES (ACEITE E HIDRAULICO),1,(s/f)  Q-12 MANTENCION
REVISION ACTUADORES DE ESTABILIZADORES,1,(s/f)  Q-12 MANTENCION
REPARACION FUGA DE AIRE,1,(s/f)  RX-12 FRENOS
"MANTENCION Y ENGRASE A CORTINAS, REVISION Y REPARACION DE CINTURONES DE SEGURIDAD",1,(s/f)  RX-12 CABINA Y CARROCERIA
REPARACION SEGURO CORTINA IZQUIERDA N°1,1,(s/f)  RX-12 CABINA Y CARROCERIA
CAMBIO DE CREMALLERA VENTANA DERECHA TRASERA (SE ENCUENTRA FUERA DE SERVICIO),1,(s/f)  RX-12 CABINA Y CARROCERIA
REVISION SISTEMA ELECTRICO,1,(s/f)  RX-12 MOTOR
REPARACION DE PITON MANGUERIN,1,(s/f)  RX-12 CUERPO BOMBA
REVISION DE NIVELES (ACEITE E HIDRAULICOS),1,(s/f)  RX-12 MANTENCION
"BATERIA DEL SISTEMA ADICIONAL DE 12V, YA NO RETIENE CARGA (TIENE MAS DE 3 AÑOS, REEMPLAZAR)",1,(s/f)  BX-2 LUCES Y SISTEMA ELECTRICO
"REPARACION SIRENA FEDERAL, FALLA NUEVAMENTE, YA REPARADA ANTERIORMENTE",1,(s/f)  Q-8 LUCES Y SISTEMA ELECTRICO
"CAMBIO INTERRUPTOR DE CONTACTO DE IGNICION, YA ESTABA SOLICITADO Y EN ESPERA DE IMPORTACIÓN",1,(s/f)  Q-8 MOTOR
"PERDIDA DE AIRE, BAJA CONSIDERABLEMENTE EL NIVEL DE AIRE EN POCAS HORAS, POSIBLEMENTE PERDIDA DE AIRE EN ASIENTO CONDUCTOR QUEDA BAJO DE 6 BAR EN MENOS DE 3 HRS.",1,(s/f)  RX-8 FRENOS
REVISION DE AIRE ACONDICIONADO SOLO AIRE CALIENTE,1,(s/f)  M-8 MOTOR
"SISTEMAS DE TENSIÓN DE CABLES Y MANGUERAS, REQUIERE REPARACIÓN (PENDIENTE DE RECIBIR COTIZACIÓN DE MAGIRUS)",1,(s/f)  M-8 TORRE DE ILUMINACION
REVISION DE SISTEMA ELECTRICO,1,(s/f)  M-8 LUCES Y SISTEMA ELECTRICO
REVISION DE SISTEMA DE FRENOS,1,(s/f)  M-8 FRENOS
REVISION DE CARROCERIA Y EQUIPAMIENTO BOMBERIL,1,(s/f)  M-8 CABINA Y CARROCERIA
"CAMBIO DE FLUIDOS (ACEITE, LIQUIDOS REFRIGERANTES)",1,(s/f)  M-8 MANTENCION
revision escala mecanica,1,(s/f)  M-8 OTROS
Cambio de luces frontales de camino ya que no alumbran por ser luces normales y no led. En las noches muy poca vicibilidad.,1,(s/f)  B-3 LUCES Y SISTEMA ELECTRICO
Problemas en el gobernador según diagnostico del personal del cml perdida de aire constante,1,(s/f)  B-3 OTROS
REPARACION MOLDURA DE PUERTA DERECHA E IZQUIERDA TRASERA (REF. SMR 137),1,(s/f)  BX-22 CABINA Y CARROCERIA
Cambio de chapulines,1,(s/f)  B-22 LUCES Y SISTEMA ELECTRICO
Reparación suspensión trasera,1,(s/f)  B-22 SUSPENSION
"Revision cuerpo de bomba, enfriador de motor y enfriador de cuerpo de bomba",1,(s/f)  B-22 CUERPO BOMBA
Revision de luces perimetrales,1,(s/f)  B-22 SISTEMAS DE ALARMAS
Revision de papi por mal funcionamiento,1,(s/f)  B-22 SISTEMAS DE ALARMAS
Cambio de intercooler por roptura de este,1,(s/f)  Z-22 MOTOR
REVISION DE FRENOS YA QUE SUENAN CONSTANTEMENTE Y RESBALAN EN OPORTUNIDADES,1,(s/f)  Q-6 FRENOS
"REVISION COMPLETA DE TREN DELANTERO, PAQUETE DE RESORTES Y AMORTIGUADORES (CRUJE)",1,(s/f)  Q-6 SUSPENSION
REVISION DE MASAS DELANTERAS Y TRASERAS,1,(s/f)  Q-6 SUSPENSION
"REPARACION TAPICES ASIENTOS, PULMON NEUMATICO ASIENTO CONDUCTOR",1,(s/f)  Q-6 CABINA Y CARROCERIA
"FILTRACION DE ACEITE DE MOTOR, FILTRACION LIQUIDO HIDRAULICO ESTABILIZADOR TRASERO IZQ",1,(s/f)  Q-6 MOTOR
MANTENCION Y LIMPIEZA ESCALA MECANICA,1,(s/f)  Q-6 OTROS
MANTENCION GENERADOR ELECTRICO,1,(s/f)  Q-6 TORRE DE ILUMINACION
REVISION TABLERO LECTURA YA QUE NO ENCIENDE EN ALGUNAS OPORTUNIDADES,1,(s/f)  Q-6 TORRE DE ILUMINACION
"RECAMBIO DE LUCES ESTROBOSCOPICAS ROJAS, YA VARIAS ESTAN CUMPLIENDO SU VIDA UTIL Y SE ENCUENTRAN CON AREAS QUEMADAS",1,(s/f)  RX-6 LUCES Y SISTEMA ELECTRICO
FALTA DE INSTALACION DE CARGADOR DE BATERIAS KUSSMAUL PENDIENTE 2023 (ENCHUFE AUTO EYECTABLE),1,(s/f)  RX-6 LUCES Y SISTEMA ELECTRICO
"REVISION COMPLETA TREN DELANTERO, PAQUETE DE RESORTES Y AMORTIGUADORES, GOLPEA FUERTE",1,(s/f)  RX-6 SUSPENSION
REVISION MASAS DELANTERAS Y TRASERAS,1,(s/f)  RX-6 SUSPENSION
"CAMBIO DE CINTURONES DE SEGURIDAD, GASTADOS Y DAÑADOS POR USO",1,(s/f)  RX-6 CABINA Y CARROCERIA
REPARACION TAPICES ASIENTO Y MURO TRASERO CABINA,1,(s/f)  RX-6 CABINA Y CARROCERIA
"CIERRE DE LOS COMPARTIMIENTOS, CORTINAS ENROLLANDO DE MANERA DEFECTUOSAS, SOBRE TODO EN C1.",1,(s/f)  RX-6 CABINA Y CARROCERIA
REVISION TRANSMISION ALLISON YA QUE GENERA AN ALGUNAS OPORTUNIDADES SOBRE MARCHA,1,(s/f)  RX-6 MOTOR
MANTENCION GENERADOR HIDRAULICO,1,(s/f)  RX-6 TORRE DE ILUMINACION
REVISION CARDAN TOMA DE FUERZA GENERADOR,1,(s/f)  RX-6 TORRE DE ILUMINACION
"REVISION Y MANTENCION, LUBRICACION DE BANDEJAS ABATIBLES Y EXTRAIBLES EN COMPARTIMIENTOS",1,(s/f)  RX-6 OTROS
Problemas de encendido y detencion con el boton Start/Stop (INFORMADO SRM 2025-16),1,(s/f)  B-13 LUCES Y SISTEMA ELECTRICO
REPARACION A/C,1,(s/f)  B-13 OTROS
Problemas de encendido y detencion con el boton Start/Stop (INFORMADO SRM 2025-17),1,(s/f)  BM-13 LUCES Y SISTEMA ELECTRICO
Instalación DE SOSPORTES PARA LINTERNAS (ENVIADO POR CIA.) (INFORMADO SRM 2025-23),1,(s/f)  BM-13 OTROS
"Revisión de ""Chapulines"", ambos parpadean, posible problema eléctrico.",1,(s/f)  MX-15 LUCES Y SISTEMA ELECTRICO
Revisión preventiva del sistema de frenos de disco.,1,(s/f)  MX-15 FRENOS
Revisión y arreglo definitivo de pulmones (máquina torcida),1,(s/f)  MX-15 SUSPENSION
"Cambio de neumaticos a los correctos, son de distinta medida y topan.",1,(s/f)  MX-15 NEUMATICOS
"Cambio de parlante de sirena, parlante de mínimo 100 watts (hoy 50 watts)",1,(s/f)  MX-15 SISTEMAS DE ALARMAS
"Revisión de ""Fallo orden de a bordo""",1,(s/f)  MX-15 OTROS
Cambio de baterias por problemas recientes en encendido,1,(s/f)  Q-15 LUCES Y SISTEMA ELECTRICO
"Instalación urgente de ""Chapulines"" por extensión de la máquina.",1,(s/f)  Q-15 LUCES Y SISTEMA ELECTRICO
Revisión frenos de disco de las 6 ruedas.,1,(s/f)  Q-15 FRENOS
Mantención en MAN o CML de Pri-tarder.,1,(s/f)  Q-15 FRENOS
"Instalación de jaula de protección para mástil, por altura de la máquina.",1,(s/f)  Q-15 TORRE DE ILUMINACION
Instalación de barqueta de rescate en el lugar del pack de escalas.,1,(s/f)  Q-15 OTROS
"Instalación de pedestal accesorio (costado derecho, atrás de las escalas).",1,(s/f)  Q-15 OTROS
Instalación de corta cables en cuerpo de brazo de Q15.,1,(s/f)  Q-15 OTROS
Instalación de un nuevo chevron con mejor visualizacion en el canasto de Q15.,1,(s/f)  Q-15 OTROS
Revisión del ramal completo de la máquina.,1,(s/f)  RX-15 LUCES Y SISTEMA ELECTRICO
Revisión de sobrecarga de elementos en el camión (evaluar 2a Bateria),1,(s/f)  RX-15 LUCES Y SISTEMA ELECTRICO
Cambio y reposición de todo el sistema de freno complementario del Camión.,1,(s/f)  RX-15 DIRECCION
Mantención en MAN o CML de retardador.,1,(s/f)  RX-15 DIRECCION
Revisión general de suspensión de máquina.,1,(s/f)  RX-15 SUSPENSION
"Revisión y posible cambio de parabrisas, por piquete.",1,(s/f)  RX-15 CABINA Y CARROCERIA
Revisión de manivela de ventanas cabina tripulación.,1,(s/f)  RX-15 CABINA Y CARROCERIA
"Mantención en MAN de la caja de cambio, con problemas.",1,(s/f)  RX-15 MOTOR
"Revisión de acoples, gomas de acoples y tablero de bomba RX15.",1,(s/f)  RX-15 CUERPO BOMBA
Cambio pendiente (de la 15) de los estroboscópicos de RX-15 con proveedor.,1,(s/f)  RX-15 SISTEMAS DE ALARMAS
Instalación de sistema sonoro claxon en la máquina,1,(s/f)  RX-15 OTROS
Revisión de correcto funcionamiento de los cargadores indicados.,1,(s/f)  RX-15 OTROS
"Revisión y cambio de seguros de gavetas (seguros manuales, los que bajan los bomberos)",1,(s/f)  RX-15 OTROS
Revisión y arreglo de abatible en G1 para material,1,(s/f)  RX-15 OTROS
Las plataformas que se bajan para lograr una mejor altura tiene pasadores que se salen,1,(s/f)  RX-15 OTROS
sensores de pisaderas y cortinas derecha malos. Sensores de asiento/cinturo malos,1,(s/f)  RX-14 CABINA Y CARROCERIA
Radios: Principal Pendiente de instalar / Secundaria: Conexión faltante / Cargador de radios portatiles de 03 radios no carga,1,(s/f)  RX-14 OTROS
CAMBIO DE CLAXON - INSTALACION SIRENA TIPO PAPI,1,(s/f)  Q-7 SISTEMAS DE ALARMAS
REPARACION DE DAÑOS DE ACCIDENTES PENDIENTES 2023 - 2024,1,(s/f)  Q-7 OTROS
Cambio de claxon desde BX17 a B17,1,(s/f)  B-17 LUCES Y SISTEMA ELECTRICO
Reparacion luz de posicion delantera Izq,1,(s/f)  H-18 LUCES Y SISTEMA ELECTRICO
Reparacion Luz de escena delantera Izq,1,(s/f)  H-18 LUCES Y SISTEMA ELECTRICO
"MANTENCION GENERADOR HARRISON ( 500 HORAS , LIQUIDO HIDRAULICO Y FILTRO)",1,(s/f)  BT-18 LUCES Y SISTEMA ELECTRICO
"Revisión torre de iluminación, sube y problemas para bajar.",1,(s/f)  B-11 TORRE DE ILUMINACION
"PERDIDA DE AIRE DEL SISTEMA, EL CUAL OBLIGA A ESPERAR APROX. 1 MINUTO CADA 3 HORAS DE FUNCIONAMIENTO PARA DESBLOQUEAR LA MAQUINA",1,(s/f)  B-4 FRENOS
REPARACION DE SALIDA DE 75MM POR FILTRACION,1,(s/f)  B-4 CUERPO BOMBA
REPARACION DE FOCO QUEMADO,1,(s/f)  B-4 TORRE DE ILUMINACION
REVISION DE AMBAS UNIDOADES POR CONSTANTES FALLAS,1,(s/f)  B-4 OTROS
REPARACION DE BRAZO HIDRAULICO,1,(s/f)  H-4 CABINA Y CARROCERIA
REPARACION DE SIRENA,1,(s/f)  H-4 SISTEMAS DE ALARMAS
REPARACION DE SISTEMA HIDRAULICO DE ASEGURAMIENTO DE TORRE CUANDO SE DESPLIEGA,1,(s/f)  UD-4 TORRE DE ILUMINACION
REPARACION DE GENERADOR ELECTRICO,1,(s/f)  UD-4 TORRE DE ILUMINACION
INSTALACION DEE SOPORTE EN PARTE TRASERA PARA GENERADOR DE ESPUMA DE ALTA EXPANSION,1,(s/f)  UD-4 OTROS
REPARACIÓN DE BARRA DE LA CORTINA ENROLLABLE LADO IZQUIERDO ATRÁS.,1,(s/f)  B-5 CABINA Y CARROCERIA
EL PORTA ESCALAS QUE TIENE INCORPORADO NO ES DE LA MEDIDA DE LAS ESCALAS DISPONIBLES. SE SOLICITA AJUSTAR O REEMPLAZAR PARA PODER SER USADO.,1,(s/f)  B-5 OTROS
INSTALACIÓN DE SEGUNDA RADIO BASE EN ESPACIO DISPONIBLE EN CABINA.,1,(s/f)  B-5 OTROS
MANTENCIÓN GENERAL. SE HACE CADA 5 AÑOS Y CORRESPONDE HACERLO AHORA. INCLUYE CAMBIO DE,1,(s/f)  M-5 MANTENCION
"SOLICITUD DE GRASA PARA MANTENCIÓN DE TORRE, TORNAMESA Y JACKS. ESTA MANTENCIÓN SE HACE CADA",1,(s/f)  M-5 MANTENCION
