text,count,examples
TAPIIZ PUERTA TRASEDA DERECHA QUEBRADO,1,(s/f)  BX-21 CABINA Y CARROCERIA
REVERSA CON DIFICULTAD DE ENGANCHE (REGULACION PIOLAS),1,(s/f)  BX-21 MOTOR
PITON MANGUERIN OBSTRUIDO,1,(s/f)  BX-21 MOTOR
NIVEL DE AGUA ESTANQUE DEFECTUOSO,1,(s/f)  BX-21 CUERPO BOMBA
RADIO BASE CUERPO BOMBA NO FUNCIONA DESDE LA INSTALACION,1,(s/f)  BX-21 CUERPO BOMBA
TELECOMANDO LIMPIA PARABRISAS SE ACCIONA SOLO,1,(s/f)  Z-21 LUCES Y SISTEMA ELECTRICO
CORTA CORRIENTE D PISO SUELTO,1,(s/f)  Z-21 LUCES Y SISTEMA ELECTRICO
HOLGURA ANORMAL EN TERMINALES DE DIRECCION (ROTULAS),1,(s/f)  Z-21 DIRECCION
Chequeo De Neumáticos,1,(s/f)  Z-21 NEUMATICOS
SEGUROS CHORIZOS DE TECHO DEFECTUOSOS,1,(s/f)  Z-21 CHASSIS
CARROSERIA INCLINADA LADO IZQUIERDO,1,(s/f)  Z-21 CHASSIS
SEGUROS DE CIERRE CAJONERAS LATERALES EN MAL ESTADO,1,(s/f)  Z-21 CABINA Y CARROCERIA
NIVEL DE ESTANQUE DE AGUA DEFECTUOSO,1,(s/f)  Z-21 CUERPO BOMBA
CAMARA RETROCESO CON ANGULO INVERTIDO CONDUCE AL ERROR DE MANIOBRAS,1,(s/f)  Z-21 ACCESORIOS E INSTRUMENTOS
"ACCIONADOR DE FRENO MANO MAXI DURO DE ACCIONAR, TABLERO SUELTO",1,(s/f)  Z-21 ACCESORIOS E INSTRUMENTOS
SIRENA PA-PI DEFECTUOSA,1,(s/f)  Z-21 SISTEMAS DE ALARMAS
"ASIENTO CONDUCTOR TAPIZ ROTO, REGULADOR DE AIRE QUEBRADO",1,(s/f)  Z-21 OTROS
FUGA DE AGUA POR ARTICULACION DESCARGA RAPIDA (DESGASTE DE DISCO),1,(s/f)  Z-21 OTROS
CONECTAR RADIO TELECOM,1,(s/f)  RM-21 LUCES Y SISTEMA ELECTRICO
RUEDA DE REPUESTO Y GATA DE LEVANTE (NO TIENE),1,(s/f)  RM-21 NEUMATICOS
RECTIFICACION POSICION DE VOLANTE,1,(s/f)  Q-12 DIRECCION
FIJACION SOPORTE HALLIGANS,1,(s/f)  Q-12 CHASSIS
AIRE ACONDICIONADO CONTRACABINA MALO (CONTROLES MALOS),1,(s/f)  Q-12 CABINA Y CARROCERIA
REVISAR REBALSE DE COMBUSTIBLE (CUANDO SE LLENA),1,(s/f)  Q-12 MOTOR
TORRE ILUMINACION CAMBIO FOCOS QUEMADOS (4 FOCOS),1,(s/f)  Q-12 TORRE DE ILUMINACION
CARGADOR MANTENEDOR DE CORRIENTE SIEMPRE MANTIENE EN EL MINIMO,1,(s/f)  RX-12 LUCES Y SISTEMA ELECTRICO
CORRECCION POSICION DEL VOLANTE,1,(s/f)  RX-12 DIRECCION
REHUBICACION CAMARA TRASERA (ESCALERA TECHO),1,(s/f)  RX-12 ACCESORIOS E INSTRUMENTOS
FIJACION DE BARRA BALIZA TECHO,1,(s/f)  RX-12 SISTEMAS DE ALARMAS
SIRENA FEDERAL Q2B PEGADA,1,(s/f)  RX-12 SISTEMAS DE ALARMAS
INSTALAR LUZ PERIMETRAL LATERALES ( PARA PAB Y RURAL ),1,(s/f)  Z-2 LUCES Y SISTEMA ELECTRICO
INSTALAR LUZ EN CAJONERA DERECHA-SUPERIOR,1,(s/f)  Z-2 LUCES Y SISTEMA ELECTRICO
RESTAURAR APOYO DEL ESTANQUE DE COMBUSTIBLE A SU POSICION ORIGINAL,1,(s/f)  Z-2 CHASSIS
REPARA PASADOR DE PISADERA LADO DERECHO,1,(s/f)  Z-2 CABINA Y CARROCERIA
REPONER ASTA PARACHOQUES DELANTERO IZQUIERDO,1,(s/f)  Z-2 CABINA Y CARROCERIA
RENOVAR LUCES ALARMA SUPERIOR FRONTAL (PROVEIDAS POR 2DA LA CIA),1,(s/f)  Z-2 SISTEMAS DE ALARMAS
INSTALAR LUZ PERIMETRAL FRONTAL ( PARA FUNCION 10-3 y 10-4 ),1,(s/f)  B-2 LUCES Y SISTEMA ELECTRICO
REPARA PERDIDA DE AIRE VALVULA COMPARTIMENTO CUERPO BOMBA,1,(s/f)  B-2 FRENOS
FORTALECER ANCLAJE-UNION PUERTA PISADERA TRIPULACION DERECHA,1,(s/f)  B-2 CABINA Y CARROCERIA
"CAMBIAR MATERIAL DEL ASIENTO DEL CONDUCTOR, SE ESTA DETERIORANDO",1,(s/f)  B-2 CABINA Y CARROCERIA
"PITON DEL MANGUERIN CON FUGA Y CIERRE DEFECTUOSO, SOLICITA REEMPLAZO",1,(s/f)  B-2 CUERPO BOMBA
MECANISMO DE ABRIR POLLO SE ATASCA ABIERTO (REVISAR),1,(s/f)  B-2 CUERPO BOMBA
"LUZ DE PANEL TRANSMISION AUTOMATICA SE APAGA AL ENCENDER LUCES, DEBE PERMANECER ILUMINADO PERMANENTEMENTE",1,(s/f)  BX-2 LUCES Y SISTEMA ELECTRICO
REPONER TAPA DE RUEDA DELANTERA DERECHA,1,(s/f)  BX-2 NEUMATICOS
"SE HACE NECESARIO ALINEACION, BALANCEO Y ALINEAR EL VOLANTE DE DIRECCIÓN",1,(s/f)  Q-8 DIRECCION
FOCO 220 VOLT DE TORRE QUEMADO Y DERRETIDO,1,(s/f)  Q-8 TORRE DE ILUMINACION
ROTURA MOTOR DE CAMBIO DE PATRON DE MONITOR,1,(s/f)  Q-8 OTROS
REVISAR FUNCIONAMIENTO YA QUE NO OPERA CORRECTAMENTE (NO TIENE RETORNO AUTOMATICO),1,(s/f)  Q-8 OTROS
FOCOS LED DE TORRE DE ILUMINACIÓN SE APAGAN AL ELEVAR 2do. CUERPO DEL MASTIL,1,(s/f)  RX-8 LUCES Y SISTEMA ELECTRICO
CORNETA DE PAPI ROTA SOLICITA CAMBIO,1,(s/f)  RX-8 OTROS
"NO OPERATIVO, DEBE SER REEMPLAZADO.",1,(s/f)  RX-8 OTROS
LUEGO DE COLISIÓN NO FUERON REPUESTOS,1,(s/f)  RX-8 OTROS
CHEQUEO DE NEUMATICOS,1,(s/f)  M-8 NEUMATICOS
RECAMBIO DE FILTROS,1,(s/f)  M-8 MANTENCION
Torre de iluminacion presento problemas al subir hace 2 semanas y ahora ya no funciona.,1,(s/f)  B-3 TORRE DE ILUMINACION
Perdida de aire y fuga de agua de camas cruzadas,1,(s/f)  BT-3 CUERPO BOMBA
Gobernador de aire defectuosa a la espera de repuesto,1,(s/f)  BT-3 OTROS
aire acondicionado no funciona,1,(s/f)  BT-3 OTROS
Generador no funcionan tomas de corriente y nunca se le a hecho mantencion en 10 años.,1,(s/f)  BT-3 OTROS
LUZ TROCHA PISADERA LADO DEL CONDUCTOR SIN MICA Y LUZ DE TROCHA UBICADA SOBRE NEUMATICO DELANTERO LADO CONDUCTOR CON FALLAS,1,(s/f)  BX-22 LUCES Y SISTEMA ELECTRICO
INSTRUMENTACION DE CUERPO DE BOMBA NO FUNCIONA (REF SRM 136),1,(s/f)  BX-22 CUERPO BOMBA
NO FUNCIONA MEDIDOR DE COMBUSTIBLE,1,(s/f)  BX-22 ACCESORIOS E INSTRUMENTOS
BARRA DE LUCES TRASERA NO ENCIENDE (CAMBIAR BOTONERA PRINCIPAL) Y ESTROBO SUPERIOR IZQ,1,(s/f)  BX-22 SISTEMAS DE ALARMAS
"PAPI NO FUNCIONA (REF. SRM 136, 139,144, 160) REVISION SISTEMA ELECTRICA DE ESTE, REVISION DEL SISTEMA DE ALIMENTACION DE FEDERAL ELECTRONICA",1,(s/f)  BX-22 SISTEMAS DE ALARMAS
Fuga de liquido hidraulico sector rueda conductor,1,(s/f)  B-22 DIRECCION
Juego excesivo en direccion,1,(s/f)  B-22 DIRECCION
Chequeo de neumaticos,1,(s/f)  B-22 NEUMATICOS
medidor de nivel de combustible no funciona,1,(s/f)  B-22 ACCESORIOS E INSTRUMENTOS
Fuga de aire no identificada,1,(s/f)  B-22 OTROS
FALTA BALIZA DE SOBRE CARGA ESCALA MECANICA,1,(s/f)  Q-6 LUCES Y SISTEMA ELECTRICO
SENSOR PUERTA TRASERA DERECHA DEFECTUOSO,1,(s/f)  Q-6 CABINA Y CARROCERIA
FIJAR GUARDAFANGOS TRASERO IZQ YA QUE SALE DE LA ESTRUCTURA,1,(s/f)  Q-6 CABINA Y CARROCERIA
"PITON MONITOR ESCALA MECANICA MALO, INTERCOMUNICADOR ESCALA MECANICA MALO,",1,(s/f)  Q-6 TORRE DE ILUMINACION
BOTON DE ESTABILIZADORES SE QUEDAN PEGADOS.,1,(s/f)  Q-6 TORRE DE ILUMINACION
REGULAR PASADORES BANDEJA EXTRAIBLE COMPARTIMIENTO C1,1,(s/f)  Q-6 OTROS
BATERIAS MALAS,1,(s/f)  RX-6 LUCES Y SISTEMA ELECTRICO
SENSOR ABS MALO,1,(s/f)  RX-6 FRENOS
INDICADOR DE NIVEL DE COMBUSTIBLE PRESENTA ERRORES EN LECTURA EN ALGUNAS OCACIONES,1,(s/f)  RX-6 ACCESORIOS E INSTRUMENTOS
FUGA EN VALVULA MAESTRA DE CORTE (INFORMADO SRM 2025-22),1,(s/f)  B-13 CUERPO BOMBA
EN OCASIONES SE QUEDA PEGADO AL ACTIVAR,1,(s/f)  B-13 CUERPO BOMBA
Trabajo erroneo del nivel de estanque (cuerpo de bomba) (INFORMADO SRM 2025-16),1,(s/f)  B-13 CUERPO BOMBA
ACTIVACION DE ALARMA DE RETROCESO SIN METER REVERSA (INFORMADO SRM 2025-20),1,(s/f)  BM-13 LUCES Y SISTEMA ELECTRICO
ACTIVACION DE ALARMA DE SOBRE TEMPERATURA MOTOR SIN TENER SOBRE TEMPERATURA,1,(s/f)  BM-13 LUCES Y SISTEMA ELECTRICO
FRENOS LARGOS (INSPECCIONAR RECORRIDO DE BALATAS),1,(s/f)  BM-13 FRENOS
ENCENDIDO DE TESTIGO FILTRO DE AIRE (INFORMADO SRM 2025-18),1,(s/f)  BM-13 MOTOR
Switch Star/Stop con problemas para detener la maquina (INFORMADO SRM 2025-20),1,(s/f)  BM-13 MOTOR
"Perdida de fuerza en primeras marchas, a partir de 3ra se regulariza",1,(s/f)  BM-13 MOTOR
"Fuga en valvula de salida 3"" costado del copiloto",1,(s/f)  BM-13 CUERPO BOMBA
No funciona el aire Acondicionado,1,(s/f)  BM-13 ACCESORIOS E INSTRUMENTOS
Se ha encendido multiples veces el indicador Stop/enguine,1,(s/f)  BM-13 OTROS
"Re apriete, pisadera cabina tripulación, lado derecho.",1,(s/f)  MX-15 CHASSIS
Recambio de tapabarro delanteros izquierdo y derecho (rotos).,1,(s/f)  MX-15 CABINA Y CARROCERIA
Enchufe de carga de bateria dañados.,1,(s/f)  MX-15 OTROS
Sensores puerta derecha bomba sueltos/desconectados.,1,(s/f)  MX-15 OTROS
Detailing para limpiar tierra y grasa + lavado de chasis.,1,(s/f)  MX-15 OTROS
Valvula de cierre de estanque a bomba muy apretada,1,(s/f)  MX-15 OTROS
Reponer radio base de canasto de MX15.,1,(s/f)  MX-15 OTROS
Renovar los pasadores de los seguros de las bases.,1,(s/f)  MX-15 OTROS
Reposición de mangueras de aire quemadas,1,(s/f)  MX-15 OTROS
Fijar en cabina las bases de carga de MX15 o cambiarlas como las que tiene Q15.,1,(s/f)  MX-15 OTROS
Base de asiento de la tripulación roto.,1,(s/f)  MX-15 OTROS
Salídas de 200v en canasto con problemas.,1,(s/f)  MX-15 OTROS
Arreglo de protector y pedestal de escalas de 7 en techo.,1,(s/f)  Q-15 CHASSIS
Retiro de pack de escalas en lado izquierdo / techo de Q15,1,(s/f)  Q-15 OTROS
Caja muy alta y con exceso de altura para lo que contiene.,1,(s/f)  Q-15 OTROS
Aire acondicionado no entrega aire frio.,1,(s/f)  Q-15 OTROS
"Por descuido de voluntarios, carcaza de motor AC está quebrado, arreglar.",1,(s/f)  Q-15 OTROS
"Luces bajas amarillas ya no iluminan el camino, cambiar.",1,(s/f)  RX-15 LUCES Y SISTEMA ELECTRICO
Verificar llanta delantera izquierda por deformación,1,(s/f)  RX-15 NEUMATICOS
Neumaticos por fecha están para cambio.,1,(s/f)  RX-15 NEUMATICOS
"Torre de iluminación mala por 6-12, falta pieza completa.",1,(s/f)  RX-15 TORRE DE ILUMINACION
Sistema de aire de asiento de conductor malo,1,(s/f)  RX-15 OTROS
"Ambos sistemas con problemas hace tiempo, se requiere solucionar.",1,(s/f)  RX-15 OTROS
Plástico de puerta a cargo y conductor quebrados.,1,(s/f)  RX-15 OTROS
Modificaciones a realizar en CML para instalar alzaprimas paratech.,1,(s/f)  RX-15 OTROS
Reposición y arreglo de bombines de cofres en Techo (4 bombines),1,(s/f)  RX-15 OTROS
Claraboya se abre pero cae por no tener bombin.,1,(s/f)  RX-15 OTROS
"Lavado para retirar grasas y tierra y además, lavado de chasis del camión.",1,(s/f)  RX-15 OTROS
Alarma de Retroceso no funciona o lo hace esporadicamente,1,(s/f)  RX-14 LUCES Y SISTEMA ELECTRICO
"Autoeject no funciona, Pendiente instalacion cargadores camara termal",1,(s/f)  RX-14 LUCES Y SISTEMA ELECTRICO
Accionamiento con fuga de aire,1,(s/f)  RX-14 FRENOS
No funciona comando eléctrico de espejos,1,(s/f)  RX-14 CABINA Y CARROCERIA
Comando de apertura neumatica de manguerin con fuga. Valvula salida con indicador de cierre incorrecto,1,(s/f)  RX-14 CUERPO BOMBA
Rejillas ausentes en entradas.,1,(s/f)  RX-14 CUERPO BOMBA
Display de Odometro practicamente no permite lectura,1,(s/f)  RX-14 ACCESORIOS E INSTRUMENTOS
Pantalla multiplexado trasera con problema de display. Firecom malos,1,(s/f)  RX-14 ACCESORIOS E INSTRUMENTOS
Papi sin funcionamiento. Claxon volante y obac sin funcionamiento,1,(s/f)  RX-14 SISTEMAS DE ALARMAS
Torre con ampolleta quemada. Mastil con error y se bloquea al girar.,1,(s/f)  RX-14 TORRE DE ILUMINACION
No funciona display. Fases invertidas,1,(s/f)  RX-14 TORRE DE ILUMINACION
Bomba hidráulica / mangueras integradas no funcionan correctamente,1,(s/f)  RX-14 TORRE DE ILUMINACION
Aire Acondicionado No enfría,1,(s/f)  RX-14 OTROS
"ALINEACION, VOLANTE NO QUEDA CENTRADO",1,(s/f)  Q-7 DIRECCION
ASIENTOS TRASEROS CON FISURAS EN ESTRUCTURA,1,(s/f)  Q-7 CABINA Y CARROCERIA
PERDIDA DE AIRE EN ESTANQUE PRIMARIO,1,(s/f)  Q-7 MOTOR
PENDIENTE REPARACION AIRE ACONDICIONADO,1,(s/f)  Q-7 MOTOR
"PERDIDAS DE ACEITE Y FLUIDOS, POSTERIOR DE REPARACION CUMMINS",1,(s/f)  Q-7 MOTOR
FOCO DE TORRE SUPERIOR DERECHO QUEMADO SIN SOLUCION,1,(s/f)  Q-7 TORRE DE ILUMINACION
FUGA DE LIQUIDO DELOS CILINDROS HIDRAULICOS DE TORRE,1,(s/f)  Q-7 OTROS
FALLA EN FOCO PRINCIPAL DELANTERO DERECHO,1,(s/f)  RX-7 LUCES Y SISTEMA ELECTRICO
ENCHUFE AUTOEJECTABLE NO FUNCIONA,1,(s/f)  RX-7 LUCES Y SISTEMA ELECTRICO
SISTEMA AIRE ACONDICIONADO NO ENFRIA,1,(s/f)  RX-7 MOTOR
"LUCES FRONTALES EN MAL ESTADO, QUEMADAS",1,(s/f)  RX-7 SISTEMAS DE ALARMAS
